Date,UPROSIM,LTTSIM,LTT,LTTx2,LTTx3,SPY,SPYx2,SPYx3,UPRO,TMF
1987-07-14,1.545738254,0.9067998576,338.58,0.8888827526,0.8886711139,,,,,
1987-07-15,1.592110402,0.9149610563,338.58,0.8886711139,0.8884595255,,,,,
1987-07-16,1.587334071,0.8975767963,338.58,0.8884595255,0.8882479876,,,,,
1987-07-17,1.62225542,0.9056549874,338.58,0.8882479876,0.8880364999,,,,,
1987-07-20,1.651456018,0.9138058823,338.58,0.8880364999,0.8878250627,,,,,
1987-07-21,1.600260881,0.9037540176,338.58,0.8878250627,0.8876136758,,,,,
1987-07-22,1.555453577,0.8920052154,338.58,0.8876136758,0.8874023392,,,,,
1987-07-23,1.553898123,0.8714890954,338.58,0.8874023392,0.8871910529,,,,,
1987-07-24,1.544574734,0.8714890954,338.58,0.8871910529,0.8869798169,,,,,
1987-07-27,1.564654206,0.8653886718,338.58,0.8869798169,0.8867686313,,,,,
1987-07-28,1.583430056,0.8645232831,338.58,0.8867686313,0.8865574959,,,,,
1987-07-29,1.610348367,0.8558780503,338.58,0.8865574959,0.8863464108,,,,,
1987-07-30,1.661879515,0.8524545381,338.58,0.8863464108,0.8861353759,,,,,
1987-07-31,1.698440864,0.8524545381,332.64,0.8550429066,0.8392856873,,,,,
1987-08-03,1.706933069,0.8703560834,332.64,0.8392856873,0.8390858574,,,,,
1987-08-04,1.688156805,0.8442454009,332.64,0.8390858574,0.838886075,,,,,
1987-08-05,1.667898923,0.8383356831,332.64,0.838886075,0.8386863402,,,,,
1987-08-06,1.701256902,0.8492340469,332.64,0.8386863402,0.838486653,,,,,
1987-08-07,1.760800893,0.8517817491,332.64,0.838486653,0.8382870133,,,,,
1987-08-10,1.778408902,0.8568924396,332.64,0.8382870133,0.8380874212,,,,,
1987-08-11,1.860215712,0.8560355471,332.64,0.8380874212,0.8378878766,,,,,
1987-08-12,1.951366282,0.8526114049,332.64,0.8378878766,0.8376883794,,,,,
1987-08-13,1.933803985,0.8551692392,332.64,0.8376883794,0.8374889298,,,,,
1987-08-14,1.972480065,0.8577347469,332.64,0.8374889298,0.8372895277,,,,,
1987-08-17,1.960645184,0.8714585028,332.64,0.8372895277,0.8370901731,,,,,
1987-08-18,1.962605829,0.8793016294,332.64,0.8370901731,0.8368908659,,,,,
1987-08-19,1.876251173,0.856439787,332.64,0.8368908659,0.8366916061,,,,,
1987-08-20,1.885632429,0.8418803106,332.64,0.8366916061,0.8364923939,,,,,
1987-08-21,1.972371521,0.8494572334,332.64,0.8364923939,0.836293229,,,,,
1987-08-24,1.988150493,0.8460594045,332.64,0.836293229,0.8360941116,,,,,
1987-08-25,1.986162342,0.8452133451,332.64,0.8360941116,0.8358950415,,,,,
1987-08-26,2.002051641,0.8502846251,332.64,0.8358950415,0.8356960189,,,,,
1987-08-27,1.962010608,0.8443326328,332.64,0.8356960189,0.8354970437,,,,,
1987-08-28,1.905112301,0.8190026538,332.64,0.8354970437,0.8352981158,,,,,
1987-08-31,1.830812921,0.8050796087,327.1,0.8074749342,0.7933644629,,,,,
1987-09-01,1.876583244,0.818765962,327.1,0.7933644629,0.7931755666,,,,,
1987-09-02,1.765864832,0.8154908982,327.1,0.7931755666,0.7929867153,,,,,
1987-09-03,1.737610995,0.7747163533,327.1,0.7929867153,0.7927979089,,,,,
